idx,can_id,name,dlc,ram_buf,role
0,0x752,,0,0x0000,
1,0x700,,0,0x0000,
2,0x6ff,,8,0x114a,
3,0x6d9,,1,0x115e,
4,0x6b7,,8,0x1142,
5,0x6b4,,8,0x113a,
6,0x6b2,,8,0x111d,
7,0x660,,6,0x1117,
8,0x657,,2,0x1115,
9,0x641,,6,0x110f,
10,0x5f0,,1,0x110e,
11,0x590,,2,0x110c,
12,0x585,,2,0x110a,
13,0x581,,7,0x1103,
14,0x520,,6,0x10fd,
15,0x441,,5,0x10f8,
16,0x3c0,Klemmen_Status_01,3,0x10f5,terminal/ignition
17,0x39c,,8,0x10ed,
18,0x392,,8,0x10e5,
19,0x111,,7,0x10de,
20,0x10d,ACC_05,8,0x10d6,ACC EPB request (ACC_Betaetigung_EPB)
21,0x106,ESP_05,8,0x10ce,ESP EPB request (ESP_Anforderung_EPB) + Autohold
22,0x105,Motor_03,7,0x10c7,engine
23,0x103,ESP_03,8,0x10bf,
24,0x102,Getriebe_03,6,0x10b9,gear
25,0x101,ESP_02,5,0x10b4,
26,0x100,ESP_01,8,0x10ac,ESP: speed/standstill
27,0x081,,6,0x10a6,
28,0x080,,6,0x10a0,
